Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
S.D.,Right,22.564,22.559,17.578,0.764,2.23,0.427,9.526,90.442,2.719,171.531,5.784,171.535,2.516,170.809,3.289,2.288,2.204,3.151,2.491,0.018,0.022,3.823,127.661,0.022,0.021,0.943,0.013,0.943,0.016,1.469,0.013,1.146,0.009,0.842,0.018,1.43,22.676,2.613,11.975,1.317,0.926,1.613,3.844,2.703,1.242,1.075,0.007,,,,,,,,
%CV,,49.965,49.179,12.383,2.277,2.27,3.34,3.48,2075.825,24.95,55.75,44.628,55.984,26.629,55.619,34.865,3.67,3.516,2.674,25.79,4.01,2.224,3.439,-5753.082,2.224,3.075,1.776,4.238,3.41,4.238,4.042,7.494,6.992,7.494,7.372,5.086,4.233,49.084,38.802,230.811,4.142,12.456,3.672,4.164,12.41,1.064,1.073,0.036,,,,,,,,
%CV,Left,49.814,49.027,14.196,2.132,2.132,3.257,3.826,-119.557,23.359,56.628,60.881,57.163,37.334,56.62,48.994,3.464,3.36,2.742,23.673,3.673,2.413,3.457,2285.945,2.413,3.152,1.773,4.468,3.487,3.538,3.032,5.145,4.4,8.129,8.031,4.958,3.978,48.793,42.561,226.606,3.412,13.776,3.598,3.412,13.776,0.769,1.039,0.046,,,,,,,,
%CV,Right,50.61,49.815,10.45,2.408,2.408,3.299,2.954,113.853,26.082,55.021,21.681,55.011,9.537,54.784,12.398,3.833,3.648,2.638,27.571,3.203,2.077,3.456,-1429.894,2.077,2.937,1.445,3.538,2.717,4.468,4.364,8.129,7.554,5.145,5.166,5.298,4.529,50.165,36.024,238.002,4.678,9.325,3.045,4.678,9.325,1.279,1.101,0.007,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1: Right 1,7.508,8.242,188.183,31.605,92.236,12.841,318.734,171.922,10.286,525.864,33.548,557.155,29.107,541.51,31.327,59.257,60.435,118.882,11.874,0.567,1.133,104.896,-177.792,1.133,0.742,65.441,0.392,34.559,,,,,0.175,15.441,,,,,,28.055,,51.923,81.878,,91.996,,99.974,,,,,,,,
2,1: Left 1,8.075,8.8,198.133,31.1,91.033,13.016,317.939,-165.894,16.143,467.869,7.365,498.032,14.944,482.95,11.154,61.594,62.043,121.567,7.456,0.525,1.092,111.359,177.963,1.092,0.733,67.176,0.358,32.824,0.392,35.878,0.175,16.031,0.167,15.267,0.342,31.298,,,,28.653,10.78,51.859,83.868,31.554,95.948,98.14,99.985,,,,,,,,
3,1: Right 2,8.642,9.333,176.558,31.615,92.267,13.066,324.446,169.193,8.681,407.307,30.455,438.361,24.527,422.834,27.491,58.232,58.719,119.814,7.552,0.542,1.067,112.326,177.874,1.067,0.7,65.625,0.367,34.375,0.358,33.594,0.167,15.625,0.175,16.406,0.342,32.031,9.258,7.512,0.367,28.518,9.5,53.702,83.227,27.726,97.817,97.239,99.972,,,,,,,,
4,1: Left 2,9.167,9.883,184.842,31.191,91.3,12.917,316.441,-166.885,12.694,346.164,12.188,376.542,19.265,361.353,15.726,59.547,60.403,117.386,10.133,0.567,1.108,105.912,-179.579,1.108,0.725,65.414,0.383,34.586,0.367,33.083,0.175,15.789,0.183,16.541,0.358,32.331,9.8,5.957,7.38,29.398,9.257,49.639,86.051,27.095,97.55,97.594,99.987,,,,,,,,
5,1: Right 3,9.708,10.442,177.742,32.47,94.763,13.682,348.919,168.992,13.413,286.757,35.173,318.63,28.973,302.694,32.073,58.669,59.221,118.532,8.065,0.55,1.117,106.148,-177.595,1.117,0.742,66.418,0.375,33.582,0.383,34.328,0.183,16.418,0.175,15.672,0.358,32.09,10.358,2.959,-2.522,29.515,10.771,50.596,86.138,31.434,97.741,98.041,99.983,,,,,,,,
6,1: Left 3,10.275,10.992,185.625,31.593,92.475,12.943,321.165,-166.645,10.243,228.42,11.105,259.159,18.403,243.79,14.754,57.172,57.844,115.737,8.788,0.508,1.058,109.358,-176.888,1.058,0.725,68.504,0.333,31.496,0.375,35.433,0.175,16.535,0.175,16.535,0.35,33.071,10.908,4.994,-9.608,28.544,10.997,50.826,83.551,32.19,97.781,99.324,99.974,,,,,,,,
7,1: Right 4,10.825,11.525,185.775,32.862,95.904,12.495,322.479,170.823,9.975,167.762,29.239,200.203,23.998,183.982,26.619,59.557,60.581,116.328,11.089,0.583,1.092,106.56,-179.202,1.092,0.708,64.885,0.383,35.115,0.333,30.534,0.175,16.031,0.2,18.321,0.375,34.351,11.442,8.902,5.403,28.355,9.349,52.533,82.752,27.283,98.412,99.207,99.991,,,,,,,,
8,1: Left 4,11.333,12.092,216.708,34.164,100.0,12.887,345.789,-164.459,,110.677,2.966,143.592,12.12,127.135,7.543,,,,,,,,,,0.767,,,,0.383,,0.2,,0.183,,0.383,,,,,30.9,7.732,50.683,90.448,22.632,97.775,97.57,99.982,,,,,,,,
9,1: Right 5,11.917,12.642,146.333,31.594,92.206,13.437,333.424,167.773,,53.008,29.068,83.886,22.377,68.447,25.723,,,,,,,,,,0.733,,,,,,0.183,,,,,,,,,26.67,,,77.835,,97.937,,,,,,,,,,
10,2: Left 1,14.658,15.35,153.2,31.295,91.604,12.944,318.146,11.054,12.072,30.78,43.116,0.066,37.115,15.423,40.115,61.069,62.267,116.979,12.154,0.517,1.067,109.668,-1.017,1.067,0.7,65.625,0.367,34.375,,,,,0.15,14.063,,,,,,28.653,,49.721,83.868,,97.728,,99.947,,,,,,,,
11,2: Right 1,15.208,15.892,151.767,31.694,92.497,13.552,337.335,-13.751,13.456,86.537,16.437,55.751,23.97,71.144,20.203,58.649,59.743,119.867,11.382,0.567,1.083,110.647,-0.294,1.083,0.692,63.846,0.392,36.154,0.367,33.846,0.15,13.846,0.175,16.154,0.325,30.0,,,,26.754,10.267,54.305,78.08,29.964,97.161,98.208,99.967,,,,,,,,
12,2: Left 2,15.725,16.458,163.392,31.481,92.148,12.847,317.645,12.877,13.717,147.716,42.054,117.027,35.038,132.371,38.546,59.719,60.692,118.474,10.823,0.542,1.108,106.894,-0.84,1.108,0.742,66.917,0.367,33.083,0.392,35.338,0.175,15.789,0.175,15.789,0.35,31.579,16.367,8.713,4.713,28.199,10.333,49.232,82.54,30.246,97.336,97.219,99.981,,,,,,,,
13,2: Right 2,16.292,17.008,181.517,31.535,92.034,13.29,329.169,-9.233,10.9,206.743,18.295,175.617,23.354,191.18,20.825,60.467,61.021,120.602,8.2,0.567,1.108,108.814,1.667,1.108,0.725,65.414,0.383,34.586,0.367,33.083,0.175,15.789,0.183,16.541,0.358,32.331,16.925,4.839,-6.807,28.086,10.411,52.924,81.967,30.383,97.879,97.952,99.985,,,,,,,,
14,2: Left 3,16.833,17.55,156.092,32.535,95.232,12.804,327.174,16.491,14.417,266.684,42.537,235.488,33.301,251.086,37.919,59.103,59.73,119.511,8.629,0.525,1.092,109.476,2.074,1.092,0.725,66.412,0.367,33.588,0.383,35.115,0.183,16.794,0.158,14.504,0.342,31.298,17.467,2.604,2.416,28.652,10.513,50.546,83.868,30.774,97.172,98.42,99.794,,,,,,,,
15,2: Right 3,17.4,18.092,167.317,31.723,92.582,13.418,334.32,-7.421,8.013,327.625,22.766,296.168,26.863,311.897,24.815,60.417,61.265,119.278,10.155,0.55,1.075,110.956,0.593,1.075,0.7,65.116,0.375,34.884,0.367,34.109,0.158,14.729,0.175,16.279,0.333,31.008,18.017,9.354,22.518,29.272,11.098,53.958,85.429,32.389,98.038,98.467,99.975,,,,,,,,
16,2: Left 4,17.925,18.617,157.158,31.991,93.641,13.229,332.377,12.33,12.44,386.173,44.457,354.92,37.626,370.547,41.042,61.106,61.827,121.644,9.412,0.517,1.067,114.041,-0.11,1.067,0.7,65.625,0.367,34.375,0.375,35.156,0.175,16.406,0.15,14.063,0.325,30.469,18.533,10.934,12.117,27.387,7.648,51.283,80.164,22.387,96.076,96.077,99.949,,,,,,,,
17,2: Right 4,18.475,19.167,166.0,32.696,95.42,12.478,320.433,-8.433,8.741,447.781,23.302,415.439,28.097,431.61,25.699,55.43,56.151,116.604,8.965,0.542,1.058,110.177,0.309,1.058,0.7,66.142,0.358,33.858,0.367,34.646,0.15,14.173,0.183,17.323,0.333,31.496,19.075,5.061,-6.147,27.335,10.115,51.918,79.774,29.519,97.231,97.853,99.976,,,,,,,,
18,2: Left 5,18.992,19.7,145.808,31.391,91.885,12.452,306.991,14.868,,506.904,45.446,476.564,37.391,491.734,41.419,,,,,,,,,,0.717,,,,0.358,,0.183,,0.175,,0.358,,,,,28.663,11.026,49.553,83.899,32.273,97.04,98.664,99.968,,,,,,,,
19,2: Right 5,19.533,20.267,188.25,31.424,91.71,13.372,330.018,-5.392,,563.327,25.772,532.042,28.725,547.684,27.248,,,,,,,,,,0.742,,,,,,0.175,,,,,,,,,29.238,,,85.328,,98.453,,,,,,,,,,
20,3: Right 1,23.033,23.725,181.058,31.568,92.129,12.943,320.913,167.24,12.725,530.162,29.428,560.95,22.456,545.556,25.942,57.935,58.85,117.128,10.339,0.567,1.092,107.293,179.966,1.092,0.7,64.122,0.392,35.878,,,,,0.175,16.031,,,,,,27.371,,55.375,79.882,,95.432,,99.986,,,,,,,,
21,3: Left 1,23.558,24.283,194.875,32.266,94.445,12.445,315.378,-169.347,12.471,470.042,6.188,501.751,12.152,485.896,9.17,59.934,60.538,118.163,8.531,0.533,1.1,107.421,178.182,1.1,0.733,66.667,0.367,33.333,0.392,35.606,0.175,15.909,0.167,15.152,0.342,31.061,,,,29.32,7.727,50.161,85.823,22.618,97.557,96.185,99.97,,,,,,,,
22,3: Right 2,24.125,24.825,178.15,32.593,95.121,12.585,322.171,170.568,7.101,411.67,27.868,443.822,22.526,427.746,25.197,59.253,59.943,119.108,9.067,0.55,1.083,109.946,177.669,1.083,0.708,65.385,0.375,34.615,0.367,33.846,0.167,15.385,0.175,16.154,0.342,31.538,24.75,9.142,9.151,28.322,9.697,52.437,82.655,28.299,97.555,97.33,99.974,,,,,,,,
23,3: Left 2,24.658,25.383,178.058,31.944,93.501,12.215,306.445,-168.678,12.533,352.326,9.629,383.648,15.901,367.987,12.765,56.876,57.788,115.94,10.225,0.542,1.092,106.205,178.79,1.092,0.733,67.176,0.358,32.824,0.375,34.351,0.175,16.031,0.183,16.794,0.358,32.824,25.292,7.608,16.841,28.743,8.119,50.237,84.133,23.765,96.148,95.969,99.982,,,,,,,,
24,3: Right 3,25.208,25.917,162.442,31.417,91.689,13.256,327.08,166.739,14.468,294.233,34.577,324.813,27.371,309.523,30.974,61.745,62.238,119.001,7.817,0.558,1.1,108.183,-178.793,1.1,0.717,65.152,0.383,34.848,0.358,32.576,0.183,16.667,0.175,15.909,0.358,32.576,25.85,5.977,11.633,28.952,10.438,51.115,84.495,30.463,97.213,97.618,99.983,,,,,,,,
25,3: Left 3,25.75,26.467,177.55,31.441,92.03,12.879,318.024,-166.614,12.908,237.147,11.071,267.734,18.349,252.44,14.71,58.935,59.353,120.774,7.031,0.517,1.075,112.348,-179.522,1.075,0.725,67.442,0.35,32.558,0.383,35.659,0.175,16.279,0.167,15.504,0.342,31.783,26.383,5.349,14.787,28.259,8.815,50.778,82.716,25.804,96.664,97.978,99.984,,,,,,,,
26,3: Right 4,26.308,26.992,156.067,31.801,92.809,12.585,314.318,169.92,8.416,174.528,30.43,205.838,24.865,190.183,27.647,62.53,63.208,121.161,9.228,0.542,1.058,114.483,178.337,1.058,0.692,65.354,0.367,34.646,0.35,33.071,0.167,15.748,0.175,16.535,0.342,32.283,26.917,8.84,24.632,28.653,11.985,53.009,83.623,34.978,97.413,98.978,99.985,,,,,,,,
27,3: Left 4,26.825,27.517,195.533,32.153,94.114,13.392,338.195,-170.396,,115.262,11.978,146.964,17.343,131.113,14.66,,,,,,,,,,0.7,,,,0.367,,0.175,,0.158,,0.333,,,,,28.055,7.377,53.451,82.12,21.593,97.821,97.229,99.971,,,,,,,,
28,3: Right 5,27.367,28.042,136.583,31.673,92.436,12.503,311.014,168.176,,53.726,34.872,84.728,28.382,69.227,31.627,,,,,,,,,,0.683,,,,,,0.158,,,,,,,,,26.858,,,78.384,,97.267,,,,,,,,,,
29,4: Right 1,30.767,31.483,188.817,32.3,94.267,13.243,335.966,-14.092,13.223,78.076,21.05,46.748,28.914,62.412,24.982,60.991,61.526,121.036,8.092,0.567,1.117,108.39,-0.869,1.117,0.725,64.925,0.392,35.075,,,,,0.175,15.672,,,,,,30.287,,52.078,88.39,,98.212,,99.987,,,,,,,,
30,4: Left 1,31.317,32.033,158.85,32.008,93.691,12.463,313.302,10.623,9.861,138.368,41.995,106.908,36.094,122.638,39.045,62.105,62.877,122.841,9.825,0.5,1.067,115.164,0.762,1.067,0.725,67.969,0.342,32.031,0.392,36.719,0.175,16.406,0.158,14.844,0.333,31.25,,,,28.12,10.434,51.574,82.309,30.542,97.25,98.094,99.93,,,,,,,,
31,4: Right 2,31.883,32.567,191.467,32.415,94.601,12.907,328.585,-9.635,8.34,199.727,21.653,167.769,27.079,183.748,24.366,62.775,63.921,124.487,12.049,0.575,1.075,115.802,-1.296,1.075,0.692,64.341,0.383,35.659,0.342,31.783,0.158,14.729,0.192,17.829,0.35,32.558,32.483,0.162,-6.133,28.134,9.714,54.865,82.109,28.351,98.282,99.294,99.989,,,,,,,,
32,4: Left 2,32.383,33.092,150.458,32.007,93.687,12.656,318.148,9.569,9.668,261.3,43.05,229.738,37.729,245.519,40.389,60.183,61.647,122.693,13.356,0.508,1.083,113.255,-0.1,1.083,0.717,66.154,0.367,33.846,0.383,35.385,0.192,17.692,0.142,13.077,0.333,30.769,33.017,2.629,-17.579,30.834,11.253,53.176,90.253,32.938,98.141,98.264,99.918,,,,,,,,
33,4: Right 3,32.958,33.65,171.1,31.219,91.111,12.517,306.91,-6.272,9.185,323.257,20.853,292.224,24.264,307.74,22.559,60.613,61.461,121.415,10.175,0.567,1.075,112.944,2.913,1.075,0.7,65.116,0.375,34.884,0.367,34.109,0.142,13.178,0.192,17.829,0.333,31.008,33.558,8.44,1.886,26.173,9.754,53.826,76.385,28.465,95.047,94.44,99.972,,,,,,,,
34,4: Left 3,33.467,34.175,160.65,31.064,90.928,13.116,319.99,13.567,13.117,382.628,44.803,352.431,37.516,367.529,41.159,60.087,60.56,121.08,7.562,0.508,1.075,112.633,0.451,1.075,0.717,66.667,0.358,33.333,0.375,34.884,0.192,17.829,0.15,13.953,0.342,31.783,34.092,10.171,-6.077,28.398,10.076,52.078,83.123,29.494,96.812,97.593,99.925,,,,,,,,
35,4: Right 4,34.033,34.7,160.033,31.447,91.775,12.912,318.902,-7.831,4.968,444.635,26.15,413.482,30.434,429.059,28.292,59.558,60.569,119.107,11.023,0.533,1.042,114.342,-2.863,1.042,0.675,64.8,0.367,35.2,0.358,34.4,0.15,14.4,0.167,16.0,0.317,30.4,34.617,9.332,-8.977,27.969,9.553,51.711,81.625,27.88,97.215,97.101,99.981,,,,,,,,
36,4: Left 4,34.542,35.233,140.908,31.605,92.512,11.941,296.403,12.675,,504.342,45.403,473.507,38.468,488.925,41.936,,,,,,,,,,0.7,,,,0.367,,0.167,,0.167,,0.333,,,,,29.096,10.334,52.232,85.167,30.247,97.569,98.791,99.952,,,,,,,,
37,4: Right 5,35.075,35.808,197.217,31.574,92.146,12.527,310.648,-9.791,,563.554,19.115,532.44,24.484,547.997,21.8,,,,,,,,,,0.742,,,,,,0.167,,,,,,,,,29.32,,,85.569,,97.722,,,,,,,,,,
38,5: Right 1,38.442,39.158,180.433,31.895,93.082,13.152,329.446,167.061,14.714,534.035,37.083,565.12,29.941,549.578,33.512,59.171,59.456,116.676,5.811,0.558,1.117,104.486,-178.225,1.117,0.725,64.925,0.392,35.075,,,,,0.167,14.925,,,,,,28.398,,50.32,82.878,,96.873,,99.972,,,,,,,,
39,5: Left 1,39.0,39.717,191.35,32.36,94.721,13.12,333.448,-166.998,11.194,476.292,15.071,507.823,22.352,492.058,18.712,59.943,60.227,119.111,5.844,0.533,1.092,109.109,-178.192,1.092,0.725,66.412,0.367,33.588,0.392,35.878,0.167,15.267,0.167,15.267,0.333,30.534,,,,28.225,8.996,49.48,82.617,26.332,97.336,98.181,99.978,,,,,,,,
40,5: Right 2,39.558,40.258,160.483,32.278,94.2,12.184,308.886,172.22,7.783,416.52,30.696,448.5,26.326,432.51,28.511,57.358,57.877,117.088,7.73,0.517,1.05,111.512,-179.997,1.05,0.708,67.46,0.342,32.54,0.367,34.921,0.167,15.873,0.175,16.667,0.342,32.54,40.183,11.013,20.257,28.005,10.611,52.474,81.731,30.967,97.411,96.661,99.981,,,,,,,,
41,5: Left 2,40.092,40.792,162.95,31.417,91.96,12.244,302.119,-168.278,9.778,358.009,12.21,388.771,18.593,373.39,15.402,61.021,61.782,118.085,9.668,0.55,1.067,110.705,-178.056,1.067,0.708,66.406,0.358,33.594,0.342,32.031,0.175,16.406,0.192,17.969,0.367,34.375,40.692,11.056,20.046,28.199,7.512,51.193,82.539,21.989,97.189,96.953,99.992,,,,,,,,
42,5: Right 3,40.608,41.325,157.508,34.265,100.0,12.501,336.414,171.177,9.647,297.553,31.576,331.412,26.32,314.483,28.948,58.793,59.788,119.614,10.859,0.558,1.108,107.922,-179.176,1.108,0.725,65.414,0.383,34.586,0.358,32.331,0.192,17.293,0.175,15.789,0.367,33.083,41.25,10.224,16.956,26.7,10.998,51.783,77.923,32.097,97.562,98.063,99.982,,,,,,,,
43,5: Left 3,41.158,41.883,179.15,31.598,92.489,12.25,304.012,-169.085,12.165,239.728,8.604,270.754,14.587,255.241,11.596,56.658,57.325,115.805,8.725,0.542,1.1,105.277,178.75,1.1,0.733,66.667,0.367,33.333,0.383,34.848,0.175,15.909,0.175,15.909,0.35,31.818,41.792,9.167,21.107,28.919,8.968,50.463,84.647,26.249,96.526,96.56,99.983,,,,,,,,
44,5: Right 4,41.717,42.425,152.533,31.307,91.369,12.656,311.199,164.897,14.499,181.585,32.757,211.811,24.6,196.698,28.679,62.363,62.885,119.115,8.086,0.558,1.1,108.286,179.396,1.1,0.717,65.152,0.383,34.848,0.367,33.333,0.175,15.909,0.175,15.909,0.35,31.818,42.342,6.711,12.767,28.398,10.874,50.64,82.878,31.734,96.902,98.189,99.98,,,,,,,,
45,5: Left 4,42.258,42.992,208.35,31.883,93.325,12.623,316.102,-169.665,12.519,123.611,11.393,154.977,17.113,139.294,14.253,64.511,64.825,127.073,6.364,0.583,1.142,111.305,177.816,1.142,0.742,64.964,0.4,35.036,0.383,33.577,0.175,15.328,0.183,16.058,0.358,31.387,42.908,10.427,-4.231,29.515,8.737,55.392,86.393,25.574,97.29,97.411,99.954,,,,,,,,
46,5: Right 5,42.817,43.567,148.65,30.819,89.944,12.862,311.318,165.412,,62.877,33.619,92.703,25.856,77.79,29.737,,,,,,,,,,0.758,,,,0.4,,0.183,,0.175,,0.358,,,,,28.477,7.78,55.932,83.108,22.707,96.964,96.517,99.969,,,,,,,,
47,5: Left 5,43.4,44.133,212.025,30.233,88.494,13.415,318.533,-167.43,,-1.513,15.376,27.996,21.956,13.241,18.666,,,,,,,,,,0.742,,,,,,0.175,,,,,,,,,26.941,,,78.858,,98.034,,,,,,,,,,
48,6: Left 1,45.775,46.475,165.05,30.483,89.225,13.074,313.007,14.934,11.676,33.496,37.423,4.043,29.567,18.769,33.495,62.15,62.233,121.925,3.214,0.525,1.083,112.546,3.258,1.083,0.708,65.385,0.375,34.615,,,,,0.15,13.846,,,,,,26.228,,50.73,76.771,,95.604,,99.949,,,,,,,,
49,6: Right 1,46.333,47.017,143.858,31.357,91.515,13.003,320.243,-13.205,9.749,94.432,22.592,63.903,29.755,79.167,26.173,62.077,62.951,123.425,10.458,0.525,1.05,117.548,-3.456,1.05,0.692,65.873,0.358,34.127,0.375,35.714,0.15,14.286,0.167,15.873,0.317,30.159,,,,29.579,10.279,55.838,86.324,29.998,97.655,97.421,99.979,,,,,,,,
50,6: Left 2,46.858,47.517,146.883,31.944,93.502,13.018,326.605,8.595,11.833,157.355,41.27,125.77,36.496,141.563,38.883,61.213,62.14,123.25,10.693,0.525,1.05,117.381,-3.239,1.05,0.667,63.492,0.383,36.508,0.358,34.127,0.167,15.873,0.142,13.492,0.308,29.365,47.433,15.212,2.826,27.969,7.764,54.784,81.867,22.725,96.506,94.524,99.962,,,,,,,,
51,6: Right 2,47.383,48.075,181.25,30.501,89.015,13.636,326.645,-9.621,12.053,217.176,17.218,187.104,22.315,202.14,19.767,59.484,59.661,121.454,4.592,0.558,1.083,112.111,2.432,1.083,0.7,64.615,0.383,35.385,0.383,35.385,0.142,13.077,0.175,16.154,0.317,29.231,47.992,8.187,-27.831,26.7,7.157,53.609,77.923,20.886,96.763,96.894,99.965,,,,,,,,
52,6: Left 3,47.908,48.608,147.483,31.206,91.343,12.551,307.613,15.288,12.56,278.925,37.761,248.823,29.533,263.874,33.647,60.18,60.379,119.639,4.9,0.542,1.1,108.763,2.729,1.1,0.708,64.394,0.392,35.606,0.383,34.848,0.175,15.909,0.15,13.636,0.325,29.545,48.533,2.962,-3.945,27.232,9.835,50.21,79.71,28.788,97.093,97.239,99.915,,,,,,,,
