Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
#Samples,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,75.0,95.0,95.0,95.0,95.0,95.0,95.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,95.0,75.0,75.0,75.0,75.0,65.0,85.0,65.0,85.0,75.0,75.0,65.0,55.0,55.0,55.0,95.0,75.0,85.0,95.0,75.0,95.0,75.0,85.0,,,,,,,,
#Samples,Left,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,35.0,45.0,45.0,45.0,45.0,45.0,45.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,45.0,35.0,35.0,35.0,40.0,32.0,42.0,32.0,43.0,35.0,40.0,32.0,25.0,25.0,25.0,45.0,40.0,43.0,45.0,40.0,45.0,40.0,43.0,,,,,,,,
#Samples,Right,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,40.0,40.0,40.0,35.0,33.0,43.0,33.0,42.0,40.0,35.0,33.0,30.0,30.0,30.0,50.0,35.0,42.0,50.0,35.0,50.0,35.0,42.0,,,,,,,,
Mean,,44.754,45.46,169.89,31.679,92.582,12.859,319.859,5.748,10.852,296.618,26.768,296.368,26.556,296.493,26.662,59.959,60.659,119.633,8.887,0.541,1.08,110.789,-2.193,1.08,0.714,65.754,0.37,34.246,0.37,34.2,0.17,15.707,0.17,15.788,0.341,31.573,45.52,7.297,5.007,28.317,9.489,52.134,82.757,27.735,97.117,97.521,99.963,110.737,46.058,110.729,,111.005,109.383,112.627,0.541
Mean,Left,44.943,45.653,171.761,31.622,92.56,12.762,316.941,-76.128,11.34,279.799,26.87,279.197,26.747,279.498,26.809,60.262,60.925,119.835,8.717,0.528,1.08,111.013,5.504,1.08,0.718,66.295,0.364,33.705,0.375,34.746,0.176,16.261,0.165,15.211,0.341,31.579,45.901,7.347,4.979,28.494,9.101,51.317,83.404,26.639,97.071,97.376,99.949,,,,,,,,
Mean,Right,44.584,45.286,168.206,31.73,92.602,12.946,322.485,79.437,10.426,311.755,26.676,311.822,26.385,311.788,26.53,59.693,60.427,119.455,9.036,0.551,1.081,110.593,-8.928,1.081,0.71,65.28,0.375,34.72,0.364,33.671,0.165,15.171,0.176,16.293,0.341,31.567,45.202,7.255,5.031,28.157,9.932,52.97,82.175,28.987,97.159,97.687,99.977,,,,,,,,
Ratio,L/R,1.008,1.008,1.021,0.997,1.0,0.986,0.983,-0.958,1.088,0.897,1.007,0.895,1.014,0.896,1.01,1.01,1.008,1.003,0.965,0.958,0.999,1.004,-0.617,0.999,1.011,1.016,0.97,0.971,1.031,1.032,1.07,1.072,0.935,0.934,1.002,1.0,1.015,1.013,0.99,1.012,0.916,0.969,1.015,0.919,0.999,0.997,1.0,,,,,,,,
ASI,,-0.802,-0.807,-2.092,0.34,0.045,1.43,1.734,,-8.398,10.804,-0.725,11.04,-1.364,10.922,-1.043,-0.948,-0.821,-0.317,3.593,4.245,0.058,-0.379,,0.058,-1.094,-1.543,3.019,2.968,-3.019,-3.145,-6.729,-6.937,6.729,6.872,-0.218,-0.039,-1.534,-1.267,1.048,-1.189,8.736,3.17,-1.484,8.441,0.09,0.319,0.028,,,,,,,,
S.D.,,22.362,22.357,21.037,0.721,2.102,0.43,11.131,119.328,2.708,165.365,11.946,165.919,7.072,164.905,9.296,2.2,2.133,3.199,2.292,0.022,0.024,3.809,126.159,0.024,0.022,1.168,0.016,1.168,0.016,1.382,0.013,1.098,0.013,1.164,0.017,1.336,22.343,2.831,11.558,1.173,1.182,1.914,3.446,3.442,1.033,1.046,0.036,,,,,,,,
S.D.,Left,22.388,22.382,24.384,0.674,1.974,0.416,12.127,91.016,2.649,158.444,16.359,159.597,9.986,158.251,13.135,2.087,2.047,3.286,2.064,0.019,0.026,3.838,125.827,0.026,0.023,1.175,0.016,1.175,0.013,1.054,0.009,0.715,0.013,1.222,0.017,1.256,22.397,3.127,11.282,0.972,1.254,1.846,2.846,3.67,0.747,1.011,0.046,,,,,,,,
