Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
60,7: Left 1,51.008,51.717,184.933,31.515,91.871,13.385,331.31,-168.573,15.727,476.592,13.104,507.482,19.347,492.037,16.226,59.522,59.756,117.756,5.277,0.542,1.083,108.698,175.7,1.083,0.717,66.154,0.367,33.846,0.375,34.615,0.167,15.385,0.175,16.154,0.342,31.538,,,,26.674,11.094,50.348,77.76,32.342,95.742,98.132,99.956,,,,,,,,
61,7: Right 2,51.55,52.233,142.292,31.656,90.554,13.316,331.074,167.758,8.065,418.872,35.687,449.807,28.975,434.339,32.331,60.515,60.733,120.048,5.148,0.508,1.05,114.332,175.824,1.05,0.692,65.873,0.358,34.127,0.367,34.921,0.175,16.667,0.15,14.286,0.325,30.952,52.167,4.104,-19.43,26.941,9.328,48.074,77.066,26.683,95.786,94.311,99.981,,,,,,,,
62,7: Left 2,52.092,52.733,142.308,32.403,94.461,12.327,313.729,-173.604,3.047,357.855,24.566,390.057,28.176,373.956,26.371,57.179,58.645,116.498,13.03,0.5,1.008,115.536,-176.65,1.008,0.65,64.463,0.358,35.537,0.358,35.537,0.15,14.876,0.142,14.05,0.292,28.926,52.667,3.581,-17.705,28.267,12.511,50.094,82.403,36.471,97.917,97.549,99.969,,,,,,,,
63,7: Right 3,52.6,53.258,145.283,32.171,92.028,12.836,324.32,170.763,15.049,298.324,42.882,330.078,37.718,314.201,40.3,54.587,55.599,112.273,10.561,0.567,1.067,105.256,-174.188,1.067,0.667,62.5,0.4,37.5,0.358,33.594,0.142,13.281,0.167,15.625,0.308,28.906,53.175,8.129,-0.116,26.043,10.181,50.439,74.497,29.124,96.937,97.714,99.973,,,,,,,,
64,7: Left 3,53.1,53.85,188.1,32.132,93.669,12.722,321.053,-160.818,18.83,243.41,10.812,273.758,21.369,258.584,16.091,57.848,58.092,113.192,5.319,0.542,1.108,102.128,-179.648,1.108,0.758,68.421,0.35,31.579,0.4,36.09,0.167,15.038,0.192,17.293,0.358,32.331,53.75,4.3,13.926,29.369,9.289,46.66,85.616,27.078,97.093,98.504,99.985,,,,,,,,
65,7: Right 4,53.667,54.392,152.55,31.526,90.182,13.054,323.218,171.436,5.45,187.207,31.043,218.382,26.348,202.795,28.696,52.79,53.52,110.211,8.807,0.533,1.075,102.522,176.886,1.075,0.733,68.217,0.342,31.783,0.35,32.558,0.192,17.829,0.192,17.829,0.383,35.659,54.308,3.775,12.049,27.411,10.084,51.597,78.412,28.847,97.841,99.02,99.973,,,,,,,,
66,7: Left 4,54.208,54.925,202.367,31.185,90.911,12.919,316.425,-167.083,12.319,130.171,13.702,160.567,20.673,145.369,17.188,53.002,54.39,105.112,12.206,0.525,1.058,99.318,-179.402,1.058,0.725,68.504,0.333,31.496,0.342,32.283,0.192,18.11,0.192,18.11,0.383,36.22,54.825,5.402,2.216,29.457,8.48,45.653,85.873,24.721,98.083,99.116,99.946,,,,,,,,
67,7: Right 5,54.742,55.467,152.925,30.991,88.651,12.338,300.307,168.501,,77.965,38.514,108.334,32.335,93.149,35.424,,,,,,,,,,0.733,,,,0.333,,0.192,,0.208,,0.4,,,,,29.486,7.368,51.228,84.346,21.076,97.697,99.949,99.876,,,,,,,,
68,7: Left 5,55.267,56.033,237.417,32.717,95.375,13.004,334.155,-164.082,,23.999,10.603,55.462,19.576,39.73,15.09,,,,,,,,,,0.775,,,,,,0.208,,,,,,,,,31.134,,,90.762,,97.755,,,,,,,,,,
69,8: Left 1,58.483,59.15,159.858,29.18,85.065,13.526,309.982,8.466,7.199,29.721,36.999,0.859,32.703,15.29,34.851,60.288,61.333,112.038,11.275,0.525,1.033,108.424,1.267,1.033,0.675,65.323,0.358,34.677,,,,,0.167,16.129,,,,,,26.035,,45.095,75.896,,96.236,,99.983,,,,,,,,
70,8: Right 1,58.992,59.675,160.325,32.096,91.813,13.306,335.427,-17.798,19.422,83.405,12.764,52.846,22.575,68.125,17.669,56.392,57.435,116.748,10.899,0.533,1.058,110.313,1.624,1.058,0.692,65.354,0.367,34.646,0.358,33.858,0.167,15.748,0.167,15.748,0.333,31.496,,,,28.055,12.192,53.419,80.254,34.876,96.194,99.152,99.984,,,,,,,,
71,8: Left 2,59.517,60.225,162.192,31.689,92.378,12.573,312.917,9.624,10.104,144.112,40.478,112.869,35.18,128.491,37.829,58.235,58.899,114.988,8.822,0.55,1.083,106.143,-0.479,1.083,0.717,66.154,0.367,33.846,0.367,33.846,0.167,15.385,0.183,16.923,0.35,32.308,60.133,3.262,8.591,29.36,10.302,47.858,85.589,30.033,97.513,97.443,99.83,,,,,,,,
72,8: Right 2,60.05,60.775,194.608,32.202,92.117,13.382,338.442,-12.655,10.388,200.967,18.828,169.547,25.883,185.257,22.355,59.455,60.398,117.386,10.635,0.533,1.083,108.356,-2.267,1.083,0.733,67.692,0.35,32.308,0.367,33.846,0.183,16.923,0.183,16.923,0.367,33.846,60.7,3.55,9.588,28.618,11.71,50.152,81.864,33.497,96.797,98.68,99.989,,,,,,,,
73,8: Left 3,60.6,61.275,155.733,32.037,93.392,12.772,321.363,8.604,8.853,259.53,39.01,227.854,34.218,243.692,36.614,58.837,60.197,117.881,12.721,0.517,1.05,112.267,-0.249,1.05,0.683,65.079,0.367,34.921,0.35,33.333,0.183,17.46,0.15,14.286,0.333,31.746,61.192,5.835,0.462,28.459,10.393,51.185,82.962,30.297,98.708,99.365,99.905,,,,,,,,
74,8: Right 3,61.133,61.833,196.842,33.329,95.34,12.594,329.655,-13.172,15.968,319.293,13.645,286.841,21.24,303.067,17.442,56.484,57.291,115.914,9.578,0.558,1.075,107.827,2.796,1.075,0.708,65.891,0.367,34.109,0.367,34.109,0.15,13.953,0.192,17.829,0.342,31.783,61.742,3.509,-7.359,27.969,9.5,52.689,80.007,27.174,95.367,98.459,99.982,,,,,,,,
75,8: Left 4,61.65,62.358,176.933,32.17,93.78,12.528,316.54,13.43,12.303,377.023,41.177,345.733,33.705,361.378,37.441,58.302,58.839,115.041,7.929,0.517,1.075,107.015,1.127,1.075,0.717,66.667,0.358,33.333,0.367,34.109,0.192,17.829,0.158,14.729,0.35,32.558,62.275,6.528,-19.275,29.023,11.027,49.104,84.607,32.146,98.222,98.513,99.919,,,,,,,,
76,8: Right 4,62.208,62.9,184.117,32.308,92.421,12.657,321.182,-9.706,7.87,434.463,21.447,402.618,26.894,418.541,24.17,55.39,56.458,113.204,10.932,0.533,1.05,107.813,-1.836,1.05,0.7,66.667,0.35,33.333,0.358,34.127,0.158,15.079,0.183,17.46,0.342,32.54,62.808,7.952,-13.378,27.569,8.689,50.543,78.862,24.857,96.985,96.471,99.994,,,,,,,,
77,8: Left 5,62.725,63.45,178.692,31.964,93.18,12.167,305.441,14.199,14.808,491.74,43.807,460.752,35.967,476.246,39.887,60.875,62.069,116.018,12.115,0.6,1.133,102.369,-0.61,1.133,0.733,64.706,0.4,35.294,0.35,30.882,0.183,16.176,0.2,17.647,0.383,33.824,63.35,5.004,-0.755,28.05,9.143,49.648,81.769,26.652,97.319,98.428,99.881,,,,,,,,
78,8: Right 5,63.258,64.025,232.758,31.537,90.215,12.959,320.99,-12.717,,546.527,16.324,515.763,23.266,531.145,19.795,,,,,,,,,,0.775,,,,0.4,,0.2,,0.175,,0.375,,,,,29.815,9.007,55.872,85.287,25.764,97.121,98.711,99.993,,,,,,,,
79,8: Left 6,63.858,64.65,204.45,31.347,91.38,12.43,306.011,14.804,,607.07,42.742,576.764,34.732,591.917,38.737,,,,,,,,,,0.8,,,,,,0.175,,,,,,,,,18.327,,,53.427,,97.109,,,,,,,,,,
80,9: Right 1,66.95,67.642,160.825,32.488,92.935,12.63,322.269,170.204,10.478,541.366,34.322,573.381,28.794,557.373,31.558,56.327,57.413,114.07,11.113,0.533,1.067,106.94,-179.318,1.067,0.7,65.625,0.367,34.375,,,,,0.167,15.625,,,,,,28.638,,50.379,81.922,,97.461,,99.989,,,,,,,,
81,9: Left 1,67.483,68.175,164.158,30.51,88.943,12.616,302.311,-169.022,10.708,485.822,11.184,515.774,16.994,500.798,14.089,57.587,58.574,113.992,10.707,0.5,1.033,110.315,-179.731,1.033,0.7,67.742,0.333,32.258,0.367,35.484,0.167,16.129,0.167,16.129,0.333,32.258,,,,29.579,8.772,48.966,86.227,25.571,97.105,96.617,99.934,,,,,,,,
82,9: Right 2,68.017,68.683,134.983,32.574,93.181,13.084,334.743,167.699,12.077,427.493,34.376,459.319,27.436,443.406,30.906,51.304,52.513,108.797,11.202,0.508,1.008,107.898,179.776,1.008,0.675,66.942,0.333,33.058,0.333,33.058,0.167,16.529,0.175,17.355,0.342,33.884,68.592,7.964,8.832,28.055,10.637,51.181,80.254,30.429,96.32,97.667,99.979,,,,,,,,
83,9: Left 2,68.517,69.225,173.158,32.274,94.084,12.701,321.957,-164.533,15.065,370.678,7.851,401.783,16.458,386.231,12.155,57.552,58.741,108.731,11.762,0.55,1.058,102.737,-179.598,1.058,0.717,67.717,0.342,32.283,0.333,31.496,0.175,16.535,0.208,19.685,0.383,36.22,69.125,5.84,17.941,28.919,7.89,47.598,84.302,23.002,97.539,97.944,99.98,,,,,,,,
84,9: Right 3,69.025,69.733,165.042,34.657,99.138,12.834,349.341,169.045,10.491,316.498,34.447,350.523,27.861,333.511,31.154,55.62,57.037,112.988,12.631,0.542,1.092,103.5,179.535,1.092,0.717,65.649,0.375,34.351,0.342,31.298,0.208,19.084,0.167,15.267,0.375,34.351,69.658,2.996,6.694,31.702,10.356,48.406,90.687,29.623,98.323,99.366,99.98,,,,,,,,
85,9: Left 3,69.575,70.3,191.983,32.431,94.541,12.993,330.941,-168.155,13.195,261.315,9.039,293.056,15.696,277.185,12.367,54.989,56.235,110.799,11.77,0.567,1.108,99.969,178.649,1.108,0.733,66.165,0.375,33.835,0.375,33.835,0.167,15.038,0.192,17.293,0.358,32.331,70.2,2.476,8.42,29.648,10.307,47.898,86.43,30.047,97.035,99.49,99.751,,,,,,,,
86,9: Right 4,70.117,70.867,202.083,31.54,90.224,12.814,317.415,170.483,10.928,206.433,33.993,237.539,28.778,221.986,31.385,54.229,54.988,109.721,9.108,0.567,1.133,96.813,-178.59,1.133,0.758,66.912,0.375,33.088,0.375,33.088,0.192,16.912,0.192,16.912,0.383,33.824,70.775,1.631,5.477,28.8,9.908,48.503,82.386,28.344,94.154,89.981,99.993,,,,,,,,
87,9: Left 4,70.683,71.433,237.425,31.083,90.613,13.073,319.15,-166.155,12.554,152.107,10.869,182.288,18.307,167.198,14.588,54.742,55.476,108.989,8.994,0.55,1.117,97.602,-178.71,1.117,0.758,67.91,0.358,32.09,0.375,33.582,0.192,17.164,0.192,17.164,0.383,34.328,71.342,3.027,-1.335,28.214,9.289,46.669,82.248,27.078,98.182,99.214,99.96,,,,,,,,
88,9: Right 5,71.25,71.967,190.8,31.41,89.851,13.067,322.346,166.149,,97.355,33.597,127.851,26.077,112.603,29.837,,,,,,,,,,0.725,,,,0.358,,0.192,,0.175,,0.367,,,,,28.325,10.907,49.328,81.027,31.202,96.811,99.296,99.985,,,,,,,,
89,9: Left 5,71.8,72.55,205.325,31.61,92.149,13.002,322.785,-166.071,,42.645,8.243,73.326,15.853,57.986,12.048,,,,,,,,,,0.758,,,,,,0.175,,,,,,,,,29.348,,,85.555,,98.213,,,,,,,,,,
90,10: Right 1,75.567,76.3,194.308,31.741,90.799,13.031,324.868,-13.1,14.744,75.505,13.778,44.59,20.973,60.047,17.376,55.005,55.504,112.205,7.421,0.558,1.108,101.237,1.643,1.108,0.742,66.917,0.367,33.083,,,,,0.192,17.293,,,,,,29.457,,51.692,84.265,,97.905,,99.989,,,,,,,,
91,10: Left 1,76.117,76.842,184.133,30.93,90.167,12.568,305.316,10.962,12.087,131.919,35.913,101.553,30.031,116.736,32.972,58.2,58.394,113.5,4.756,0.542,1.1,103.182,-1.125,1.1,0.733,66.667,0.367,33.333,0.367,33.333,0.192,17.424,0.175,15.909,0.367,33.333,,,,28.398,8.95,47.044,82.785,26.09,96.871,98.794,99.936,,,,,,,,
92,10: Right 2,76.675,77.375,211.267,31.979,91.479,12.788,321.195,-8.576,8.44,188.37,19.422,156.748,24.191,172.559,21.806,57.497,57.619,115.771,3.75,0.533,1.075,107.694,-0.135,1.075,0.708,65.891,0.367,34.109,0.367,34.109,0.175,16.279,0.167,15.504,0.342,31.783,77.3,5.125,-1.998,27.991,9.112,49.963,80.071,26.065,98.55,98.459,99.971,,,,,,,,
93,10: Left 2,77.217,77.9,177.617,31.768,92.607,12.863,320.925,8.514,4.236,246.448,32.506,215.031,27.803,230.74,30.154,58.567,59.133,115.606,8.163,0.508,1.042,110.981,4.278,1.042,0.692,66.4,0.35,33.6,0.367,35.2,0.167,16.0,0.158,15.2,0.325,31.2,77.825,8.454,-19.342,28.005,9.678,48.459,81.639,28.212,97.183,98.961,99.974,,,,,,,,
94,10: Right 3,77.75,78.433,191.825,31.815,91.008,12.741,318.37,-3.874,5.973,304.261,21.768,272.519,23.917,288.39,22.842,58.1,59.021,116.315,10.383,0.558,1.067,109.045,2.099,1.067,0.692,64.844,0.375,35.156,0.35,32.813,0.158,14.844,0.183,17.188,0.342,32.031,78.358,10.905,-8.883,27.305,7.384,53.198,78.108,21.121,97.523,97.068,99.964,,,,,,,,
95,10: Left 3,78.258,78.958,169.908,31.036,90.476,12.793,311.848,9.748,8.562,360.903,41.68,330.314,36.426,345.608,39.053,58.724,59.48,116.982,9.456,0.517,1.075,108.82,1.186,1.075,0.708,65.891,0.367,34.109,0.375,34.884,0.183,17.054,0.15,13.953,0.333,31.008,78.875,7.208,14.813,29.546,7.115,49.305,86.132,20.742,97.239,94.31,99.837,,,,,,,,
96,10: Right 4,78.817,79.492,170.242,31.188,89.215,12.363,302.819,-6.24,6.886,419.759,24.788,388.756,28.178,404.257,26.483,57.975,58.832,116.607,10.008,0.542,1.058,110.18,0.646,1.058,0.683,64.567,0.375,35.433,0.367,34.646,0.15,14.173,0.167,15.748,0.317,29.921,79.433,8.974,21.278,27.956,10.364,53.269,79.971,29.646,97.293,97.242,99.982,,,,,,,,
97,10: Left 4,79.333,80.033,165.642,31.185,90.91,12.581,308.132,10.032,8.752,477.98,44.278,447.271,38.846,462.625,41.562,53.968,55.009,111.829,10.648,0.542,1.083,103.227,1.279,1.083,0.708,65.385,0.375,34.615,0.375,34.615,0.167,15.385,0.167,15.385,0.333,30.769,79.942,11.566,5.583,28.12,7.006,50.862,81.974,20.422,97.203,97.204,99.958,,,,,,,,
98,10: Right 5,79.875,80.608,200.85,31.51,90.136,12.811,317.048,-9.107,,536.468,24.506,505.355,29.493,520.911,26.999,,,,,,,,,,0.742,,,,0.375,,0.167,,0.2,,0.367,,,,,28.055,7.882,49.341,80.254,22.546,97.997,99.357,99.997,,,,,,,,
99,10: Left 5,80.417,81.167,174.717,31.473,91.749,12.123,299.678,11.251,,589.94,47.484,559.072,41.343,574.506,44.414,,,,,,,,,,0.758,,,,,,0.2,,,,,,,,,28.462,,,82.971,,97.627,,,,,,,,,,
