Unnamed: 0,Unnamed: 1,First Contact (sec.),Last Contact (sec.),Integ. Pressure (p x sec.),Foot Length (cm.),Foot Length %,Foot Width (cm.),Foot Area (cm. x cm.),Foot Angle (degrees),Toe In/Out Angle (degrees),Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.),Foot Center X Location (cm.),Foot Center Y Location (cm.),Step Length (cm.),Absolute Step Length (cm.),Stride Length (cm.),Stride Width (cm.),Step Time (sec.),Stride Time (sec.),Stride Velocity (cm./sec.),DOP (degrees),Gait Cycle Time (sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Initial D. Support (sec.),Initial D. Support %,Terminal D. Support (sec.),Terminal D. Support %,Total D. Support (sec.),Total D. Support %,CISP Time (sec.),CISP AP (%),CISP ML (%),Stance COP Dist. (cm.),SS COP Dist. (cm.),DS COP Dist. (cm.),Stance COP Dist. %,SS COP Dist. %,Stance COP Path Eff. %,SS COP Path Eff. %,DS COP Path Eff.%,Velocity (cm./sec.),Ambulation Time (sec.),Cadence (steps/min.),FAP,Mean GVI,Left GVI,Right GVI,Walk Ratio (cm./(steps/min.))
78,9: Left 1,67.65,68.358,188.967,32.696,99.296,12.584,323.144,-170.913,11.501,475.566,11.632,507.852,16.796,491.709,14.214,59.561,60.516,120.011,10.706,0.55,1.092,109.933,177.586,1.092,0.717,65.649,0.375,34.351,0.375,34.351,0.167,15.267,0.175,16.031,0.342,31.298,,,,28.688,9.838,52.941,87.124,29.877,97.105,98.225,99.958,,,,,,,,
79,9: Right 2,68.192,68.9,161.175,31.993,94.606,12.94,325.159,171.1,9.07,416.298,34.989,447.907,30.04,432.103,32.514,58.25,58.798,118.233,8.01,0.525,1.075,109.984,-179.83,1.075,0.717,66.667,0.358,33.333,0.375,34.884,0.175,16.279,0.167,15.504,0.342,31.783,68.825,13.543,14.261,28.005,9.212,53.198,82.812,27.24,96.762,95.842,99.979,,,,,,,,
80,9: Left 2,68.742,69.442,170.9,32.015,97.23,12.847,323.024,-167.52,9.718,356.689,14.933,387.947,21.852,372.318,18.392,60.119,61.053,117.947,10.637,0.542,1.067,110.576,-177.238,1.067,0.708,66.406,0.358,33.594,0.358,33.594,0.167,15.625,0.183,17.188,0.35,32.813,69.342,11.202,26.726,28.974,7.323,48.138,87.995,22.241,96.846,96.347,99.989,,,,,,,,
81,9: Right 3,69.267,69.967,158.292,31.548,93.29,12.607,312.374,168.929,14.056,298.713,35.748,329.674,29.69,314.193,32.719,57.564,58.497,117.725,10.402,0.558,1.1,107.022,-177.015,1.1,0.708,64.394,0.392,35.606,0.358,32.576,0.183,16.667,0.167,15.152,0.35,31.818,69.892,7.739,16.527,28.055,11.67,53.822,82.961,34.509,96.959,99.039,99.988,,,,,,,,
82,9: Left 3,69.808,70.533,183.308,32.134,97.591,13.044,329.199,-162.887,16.255,239.426,6.712,270.137,16.168,254.781,11.44,60.098,60.663,118.009,8.259,0.542,1.1,107.281,-179.141,1.1,0.733,66.667,0.367,33.333,0.392,35.606,0.167,15.152,0.175,15.909,0.342,31.061,70.45,8.251,14.321,29.357,8.553,50.223,89.156,25.975,97.462,97.435,99.977,,,,,,,,
83,9: Right 4,70.367,71.083,155.9,32.381,95.752,12.837,326.471,170.201,6.23,180.201,29.069,212.109,23.558,196.155,26.314,61.772,63.099,121.054,12.873,0.55,1.092,110.889,176.432,1.092,0.725,66.412,0.367,33.588,0.367,33.588,0.175,16.031,0.183,16.794,0.358,32.824,71.0,7.767,12.62,28.322,10.246,53.408,83.749,30.298,98.608,98.765,99.976,,,,,,,,
84,9: Left 4,70.908,71.625,203.492,32.27,98.005,12.748,323.108,-170.628,,120.302,9.144,152.141,14.4,136.221,11.772,,,,,,,,,,0.725,,,,0.367,,0.183,,0.175,,0.358,,,,,28.055,8.546,54.374,85.203,25.955,97.954,98.59,99.975,,,,,,,,
85,9: Right 5,71.458,72.183,135.017,31.064,91.859,12.361,301.584,168.539,,60.845,37.265,91.29,31.092,76.067,34.179,,,,,,,,,,0.733,,,,,,0.175,,,,,,,,,28.291,,,83.659,,95.666,,,,,,,,,,
86,10: Right 1,74.833,75.575,181.525,31.149,92.11,13.062,319.547,-13.01,12.717,80.626,17.517,50.276,24.529,65.451,21.023,58.048,58.347,117.547,5.906,0.55,1.125,104.486,-0.293,1.125,0.75,66.667,0.375,33.333,,,,,0.175,15.556,,,,,,25.813,,50.833,76.332,,94.858,,99.965,,,,,,,,
87,10: Left 1,75.408,76.108,165.025,31.927,96.963,12.766,320.116,13.067,8.828,140.905,37.349,109.805,30.13,125.355,33.74,61.097,61.988,118.497,10.473,0.533,1.083,109.382,4.238,1.083,0.708,65.385,0.375,34.615,0.375,34.615,0.175,16.154,0.158,14.615,0.333,30.769,,,,28.018,11.459,50.404,85.092,34.801,97.732,99.307,99.923,,,,,,,,
88,10: Right 2,75.958,76.683,192.458,33.817,100.0,12.854,341.408,-7.44,12.002,201.354,19.549,167.821,23.928,184.588,21.738,59.164,60.025,120.32,10.128,0.6,1.133,106.164,4.562,1.133,0.733,64.706,0.4,35.294,0.375,33.088,0.158,13.971,0.2,17.647,0.358,31.618,76.6,7.233,3.557,28.376,9.39,53.964,83.91,27.767,96.91,96.222,99.961,,,,,,,,
89,10: Left 2,76.492,77.258,167.633,31.57,95.878,12.776,316.773,13.155,12.489,258.719,46.073,227.978,38.888,243.349,42.481,60.54,60.845,120.256,6.085,0.558,1.158,103.818,0.666,1.158,0.775,66.906,0.383,33.094,0.4,34.532,0.2,17.266,0.175,15.108,0.375,32.374,77.167,7.809,0.895,28.519,9.077,51.15,86.61,27.565,94.432,95.951,99.928,,,,,,,,
90,10: Right 3,77.092,77.825,180.617,31.325,92.629,13.058,321.27,-13.308,10.096,318.244,26.287,287.76,33.498,303.002,29.893,60.507,61.355,120.496,10.165,0.55,1.108,108.719,-3.212,1.108,0.742,66.917,0.367,33.083,0.383,34.586,0.175,15.789,0.183,16.541,0.358,32.331,77.742,8.526,3.685,28.743,9.931,53.196,84.995,29.367,97.381,96.087,99.98,,,,,,,,
91,10: Left 3,77.65,78.358,166.975,31.66,96.151,12.981,322.78,8.989,9.742,379.496,45.233,348.225,40.286,363.861,42.759,61.751,63.054,121.766,12.751,0.533,1.083,112.399,-0.753,1.083,0.717,66.154,0.367,33.846,0.367,33.846,0.183,16.923,0.167,15.385,0.35,32.308,78.275,9.997,-2.456,28.005,9.349,53.617,85.05,28.391,96.737,97.908,99.93,,,,,,,,
92,10: Right 4,78.2,78.9,180.967,31.513,93.187,12.887,318.963,-7.952,8.171,439.278,22.387,408.067,26.747,423.672,24.567,58.225,59.389,120.184,11.702,0.533,1.067,112.672,0.219,1.067,0.708,66.406,0.358,33.594,0.367,34.375,0.167,15.625,0.175,16.406,0.342,32.031,78.817,11.075,1.776,29.32,8.794,55.666,86.702,26.003,97.672,98.186,99.988,,,,,,,,
93,10: Left 4,78.733,79.458,157.925,31.658,96.145,12.566,312.447,10.275,,501.131,44.333,469.981,38.686,485.556,41.51,,,,,,,,,,0.733,,,,0.358,,0.175,,0.2,,0.375,,,,,29.0,7.972,52.932,88.073,24.211,96.43,96.568,99.982,,,,,,,,
94,10: Right 5,79.267,80.05,215.842,31.905,94.345,13.065,327.395,-13.2,,559.312,19.921,528.25,27.206,543.781,23.564,,,,,,,,,,0.792,,,,,,0.2,,,,,,,,,30.802,,,91.085,,97.107,,,,,,,,,,
